Company,URL,Location,EntryLevel,Notes
Keka HR,https://www.keka.com/careers,Hyderabad,no,HR SaaS (SPA - needs RENDER)
Zenskar,https://www.zenskar.com/careers,Bengaluru,no,Revenue automation SaaS
Peoplebox,https://www.peoplebox.ai/careers,Bengaluru,no,Talent SaaS
Swiggy,https://careers.swiggy.com/,Bengaluru,no,SPA - needs RENDER
Groww,https://groww.in/careers,Bengaluru,no,Fintech (SPA)
Urban Company,https://www.urbancompany.com/careers,Gurugram,no,SPA - needs RENDER
Delhivery,https://www.delhivery.com/careers,Gurugram,no,Logistics (SPA)
MakeMyTrip,https://careers.makemytrip.com/,Gurugram,no,SPA - needs RENDER
Zomato,https://www.zomato.com/careers,Gurugram,no,SPA - needs RENDER
PolicyBazaar,https://www.policybazaar.com/careers/,Gurugram,no,Insurtech (SPA)
Paytm,https://paytm.com/careers,Noida,no,Fintech (SPA)
Sprinklr,https://www.sprinklr.com/careers/,Gurugram,no,CX SaaS (SPA)
Cars24,https://www.cars24.com/careers/,Gurugram,no,Auto marketplace (SPA)
Spinny,https://www.spinny.com/careers/,Gurugram,no,Auto (SPA)
Innovaccer,https://innovaccer.com/careers,Noida,no,Healthtech SaaS (SPA)
Pristyn Care,https://www.pristyncare.com/careers/,Gurugram,no,Healthtech (SPA)
MoEngage,https://www.moengage.com/careers/,Bengaluru,no,Martech SaaS (SPA)
ShareChat,https://sharechat.com/careers,Bengaluru,no,Social (SPA)
Meesho,https://www.meesho.io/jobs,Bengaluru,no,Ecommerce (SPA)
CRIS,https://cris.org.in/loadpage?page=indexcareer,New Delhi,yes,Railway IT PSU; ASE via GATE
IRCTC,https://www.irctc.com/new-openings.php,New Delhi,no,Railway PSU; notifications
RailTel,https://www.railtel.in/en/careers,New Delhi,yes,Railway telecom PSU
Tata group,https://www.tata.com/careers/jobs/joblisting,India,no,Group careers (SPA)
Tata Elxsi,https://www.tataelxsi.com/careers,Bengaluru,no,Design/embedded (SPA)
Tata Technologies,https://www.tatatechnologies.com/in/careers/,Pune,no,Engineering (SPA)
Tata Digital,https://www.tatadigital.in/work-with-us,Bengaluru,no,Consumer tech (SPA)
BEL,https://bel-india.in/career/,India,yes,Defence PSU
BHEL,https://careers.bhel.in/,India,yes,Heavy engineering PSU
NTPC,https://careers.ntpc.co.in/,India,yes,Power PSU
ONGC,https://ongcindia.com/,India,yes,Oil & gas PSU
GAIL,https://gailonline.com/IND_CareerCurrentOpenings.html,India,yes,Gas PSU
SAIL,https://sail.co.in/en/jobs,India,yes,Steel PSU
HAL,https://hal-india.co.in/career,India,yes,Aerospace PSU
ISRO,https://www.isro.gov.in/Careers.html,India,yes,Space agency
IOCL,https://iocl.com/latest-job-openings,India,yes,Oil PSU
PowerGrid,https://www.powergrid.in/careers,India,yes,Power transmission PSU
NPCIL,https://npcilcareers.co.in/,India,yes,Nuclear PSU
Internshala (ML),https://internshala.com/internships/machine-learning-internship/,India,yes,ML internships board
Internshala (SDE),https://internshala.com/internships/software-development-internship/,India,yes,Software-dev internships board
Internshala (AI),https://internshala.com/internships/artificial-intelligence-internship/,India,yes,AI internships board
YCombinator Jobs,https://www.ycombinator.com/jobs/location/bengaluru,Bengaluru,yes,YC startup jobs/interns (SPA)
Wellfound,https://wellfound.com/location/bangalore,Bengaluru,yes,Startup jobs/interns (SPA)
Google,https://www.google.com/about/careers/applications/jobs/results/?location=India&employment_type=INTERN,India,yes,Interns India (SPA)
Microsoft,https://careers.microsoft.com/students/us/en/search-results,India,yes,Students/interns (SPA)
Amazon India,https://www.amazon.jobs/en/search?base_query=intern&loc_query=India,India,yes,SDE/intern India
Adobe,https://careers.adobe.com/us/en/c/university-jobs,India,yes,University jobs (SPA)
NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,India,yes,AI/ML + SDE (SPA)
Qualcomm,https://careers.qualcomm.com/careers,India,yes,Embedded/SDE (SPA)
Samsung R&D India,https://research.samsung.com/careers,Bengaluru,yes,AI/ML research (SPA)
Atlassian,https://www.atlassian.com/company/careers/all-jobs,Bengaluru,yes,Early career (SPA)
Salesforce Futureforce,https://www.salesforce.com/company/careers/university-recruiting/,India,yes,University recruiting
Walmart Global Tech,https://careers.walmart.com/technology,Bengaluru,yes,SDE/AI (SPA)
Goldman Sachs Eng,https://www.goldmansachs.com/careers/students/,Bengaluru,yes,Students/engineering
Flipkart,https://www.flipkartcareers.com/,Bengaluru,yes,SDE/AI (SPA)
PhonePe,https://www.phonepe.com/careers/,Bengaluru,yes,SDE/AI (SPA)
Razorpay,https://razorpay.com/jobs/,Bengaluru,yes,SDE/AI (SPA)
Postman,https://www.postman.com/company/careers/open-positions/,Bengaluru,yes,SDE (SPA)
CRED,https://careers.cred.club/,Bengaluru,yes,SDE/AI (SPA)
Arcesium,https://careers.arcesium.com/,Bengaluru,yes,SDE (SPA)
D. E. Shaw India,https://www.deshawindia.com/careers,Hyderabad,yes,SDE/quant (SPA)
Sarvam AI,https://www.sarvam.ai/careers,Bengaluru,yes,GenAI/LLM
Krutrim,https://www.olakrutrim.com/careers,Bengaluru,yes,AI/LLM (SPA)
Fractal Analytics,https://fractal.ai/careers/,India,yes,AI/ML/data (SPA)
Mu Sigma,https://www.mu-sigma.com/careers,Bengaluru,yes,Data science
Wadhwani AI,https://www.wadhwaniai.org/careers/,India,yes,AI-for-good
TrueFoundry,https://www.truefoundry.com/careers,Bengaluru,yes,MLOps platform
Observe.AI,https://www.observe.ai/careers,Bengaluru,yes,Contact-center AI
Gupshup,https://www.gupshup.io/careers,Bengaluru,yes,Conversational AI
Yellow.ai,https://yellow.ai/careers/,Bengaluru,yes,Conversational AI
Uniphore,https://www.uniphore.com/careers/,Bengaluru,yes,Conversational AI
Hasura,https://hasura.io/careers/,Bengaluru,yes,GraphQL/data + AI
Kore.ai,https://kore.ai/careers/,Hyderabad,yes,Enterprise AI
Haptik,https://www.haptik.ai/careers,Mumbai,yes,Conversational AI
SigTuple,https://sigtuple.com/careers,Bengaluru,yes,Medical AI/CV
Tower Research Capital,https://tower-research.com/open-positions/,Gurugram,yes,HFT SDE/quant
Optiver,https://www.optiver.com/working-at-optiver/career-opportunities/,Mumbai,yes,Market maker SDE/quant
WorldQuant,https://www.worldquant.com/careers/,Mumbai,yes,Quant research
Graviton Research Capital,https://www.gravitontrading.com/careers.html,Gurugram,yes,HFT SDE/quant
Quadeye,https://www.quadeye.com/careers,Gurugram,yes,HFT SDE/quant
AlphaGrep,https://www.alpha-grep.com/careers/,Bengaluru,yes,Quant trading
Jump Trading,https://www.jumptrading.com/careers/,India,yes,HFT SDE/quant
NK Securities,https://www.nksecurities.com/,Gurugram,yes,HFT SDE/quant
Intel India,https://www.intel.com/content/www/us/en/jobs/locations/india.html,Bengaluru,yes,Silicon/SDE (SPA)
AMD India,https://careers.amd.com/careers-home,Bengaluru,yes,VLSI/SDE (SPA)
Texas Instruments,https://careers.ti.com/,Bengaluru,yes,Analog/embedded (SPA)
Micron India,https://careers.micron.com/careers,Hyderabad,yes,Memory/VLSI (SPA)
Analog Devices,https://analogdevices.wd1.myworkdayjobs.com/External,Bengaluru,yes,Analog/embedded (SPA)
NXP India,https://nxp.wd3.myworkdayjobs.com/careers,Noida,yes,Semiconductors (SPA)
Synopsys,https://careers.synopsys.com/,Bengaluru,yes,EDA/VLSI (SPA)
Cadence,https://cadence.wd1.myworkdayjobs.com/External_Careers,Noida,yes,EDA/VLSI (SPA)
MediaTek India,https://www.mediatek.com/careers,Noida,yes,Chipsets (SPA)
Marvell India,https://www.marvell.com/company/careers.html,Pune,yes,Semiconductors (SPA)
TCS,https://www.tcs.com/careers/india,India,yes,Main careers (SPA)
L&T Technology Services,https://www.ltts.com/careers,India,yes,Engineering R&D
Mastek,https://www.mastek.com/careers/,India,yes,IT services
Hexaware,https://hexaware.com/careers/,India,yes,IT services
Birlasoft,https://www.birlasoft.com/careers,India,yes,IT services
Cyient,https://www.cyient.com/careers,Hyderabad,yes,Engineering/IT
Sonata Software,https://www.sonata-software.com/careers,Bengaluru,yes,IT services
KPIT,https://www.kpit.com/careers/,Pune,yes,Automotive software
Nagarro,https://www.nagarro.com/en/careers,Gurugram,yes,Digital engineering
Happiest Minds,https://www.happiestminds.com/careers/,Bengaluru,yes,Digital IT
Cybage,https://www.cybage.com/careers,Pune,yes,Product engineering
Genpact,https://www.genpact.com/careers,India,yes,BPM/analytics
WNS,https://www.wns.com/careers,India,yes,BPM/analytics
EXL,https://www.exlservice.com/careers,Noida,yes,Analytics/BPM
Careem,https://www.careem.com/careers,Dubai,yes,Super-app SDE
Talabat,https://careers.talabat.com/,Dubai,yes,Delivery tech
Noon,https://careers.noon.com/,Dubai,yes,Ecommerce SDE
Property Finder,https://www.propertyfinder.ae/en/careers,Dubai,yes,PropTech
Bayut / dubizzle,https://www.bayut.com/careers/,Dubai,yes,PropTech
Kitopi,https://kitopi.com/careers/,Dubai,yes,Cloud kitchens tech
Tabby,https://tabby.ai/careers,Dubai,yes,Fintech BNPL
e& (Etisalat),https://www.eand.com/en/careers.html,Dubai,yes,Telecom tech
Emirates Group,https://www.emiratesgroupcareers.com/,Dubai,yes,Aviation IT
Internshala Gandhinagar,https://internshala.com/internships/internship-in-gandhinagar/,Gandhinagar,yes,City intern board
Internshala Pune,https://internshala.com/internships/internship-in-pune/,Pune,yes,City intern board
Internshala Chennai,https://internshala.com/internships/internship-in-chennai/,Chennai,yes,City intern board
Internshala Noida,https://internshala.com/internships/internship-in-noida/,Noida,yes,City intern board
Internshala Gurgaon,https://internshala.com/internships/internship-in-gurgaon/,Gurugram,yes,City intern board
Internshala Dehradun,https://internshala.com/internships/internship-in-dehradun/,Dehradun,yes,City intern board
Grab,https://grab.careers/,Singapore,yes,Super-app SDE/AI
Shopee (Sea),https://careers.shopee.sg/,Singapore,yes,Ecommerce SDE
Sea Group,https://career.sea.com/,Singapore,yes,SDE/AI (Sea AI Lab)
Razer,https://careers.razer.com/,Singapore,yes,Gaming hardware/SDE
PatSnap,https://www.patsnap.com/careers/,Singapore,yes,IP analytics AI
Carousell,https://careers.carousell.com/,Singapore,yes,Marketplace SDE
Ninja Van,https://www.ninjavan.co/en-sg/careers,Singapore,yes,Logistics tech
ShopBack,https://careers.shopback.com/,Singapore,yes,Fintech SDE
Nium,https://www.nium.com/careers,Singapore,yes,Fintech/payments
Coda Payments,https://www.codapayments.com/careers,Singapore,yes,Payments SDE
Carro,https://www.carro.co/en/careers,Singapore,yes,Auto marketplace/AI
PropertyGuru,https://www.propertygurugroup.com/careers/,Singapore,yes,PropTech SDE
Aspire,https://aspireapp.com/careers,Singapore,yes,Fintech SDE
AI Singapore,https://aisingapore.org/careers/,Singapore,yes,National AI programme
GovTech Singapore,https://www.tech.gov.sg/careers/,Singapore,yes,Gov digital SDE/AI
Biofourmis,https://www.biofourmis.com/careers/,Singapore,yes,Health AI/ML
MyCareersFuture (SDE),https://www.mycareersfuture.gov.sg/search?search=software+engineer&sortBy=new_posting_date,Singapore,yes,Gov job board - SDE
MyCareersFuture (ML),https://www.mycareersfuture.gov.sg/search?search=machine+learning&sortBy=new_posting_date,Singapore,yes,Gov job board - ML
BrowserStack,https://www.browserstack.com/careers,Bengaluru,yes,Dev testing SaaS
Whatfix,https://whatfix.com/careers/,Bengaluru,yes,Digital adoption SaaS
LeadSquared,https://www.leadsquared.com/careers/,Bengaluru,yes,CRM SaaS
Netradyne,https://www.netradyne.com/company/careers,Bengaluru,yes,Edge AI/CV
Zeta,https://www.zeta.tech/careers/,Bengaluru,yes,Banking tech
Juspay,https://juspay.io/in/careers,Bengaluru,yes,Payments SDE
Cashfree,https://www.cashfree.com/careers/,Bengaluru,yes,Payments SDE
Signzy,https://www.signzy.com/careers/,Bengaluru,yes,Fintech AI
Ather Energy,https://www.atherenergy.com/careers,Bengaluru,yes,EV/embedded
Ninjacart,https://ninjacart.com/careers/,Bengaluru,yes,Agritech SDE
Zetwerk,https://www.zetwerk.com/careers/,Bengaluru,yes,Manufacturing SaaS
Cult.fit,https://www.cult.fit/careers,Bengaluru,yes,Health tech
HighRadius,https://www.highradius.com/careers/,Hyderabad,yes,Fintech AI SaaS
Skill-Lync,https://skill-lync.com/careers,Hyderabad,yes,Edtech engineering
Zluri,https://www.zluri.com/careers,Hyderabad,yes,SaaS management
Gramener,https://gramener.com/careers/,Hyderabad,yes,Data science/AI
Turno,https://www.turno.club/careers,Hyderabad,yes,EV commerce
Druva,https://www.druva.com/about/careers,Pune,yes,Cloud data SaaS
Icertis,https://www.icertis.com/company/careers/,Pune,yes,Contract AI SaaS
Mindtickle,https://www.mindtickle.com/careers/,Pune,yes,Sales readiness SaaS
PubMatic,https://pubmatic.com/careers/,Pune,yes,Adtech SDE
Wingify,https://wingify.com/careers/,Pune,yes,VWO SaaS
FarEye,https://fareye.com/careers/,Pune,yes,Logistics SaaS
Seclore,https://www.seclore.com/company/careers/,Pune,yes,Data security
Freshworks,https://www.freshworks.com/company/careers/,Chennai,yes,SaaS SDE/AI
Chargebee,https://www.chargebee.com/careers/,Chennai,yes,Billing SaaS
Kissflow,https://kissflow.com/careers/,Chennai,yes,No-code SaaS
Indium Software,https://www.indiumsoftware.com/careers,Chennai,yes,Data/QA/AI
Facilio,https://facilio.com/careers/,Chennai,yes,PropTech SaaS
HyperVerge,https://hyperverge.co/careers/,Chennai,yes,AI/CV KYC
Ideas2IT,https://ideas2it.com/careers/,Chennai,yes,Product engineering/AI
Agnikul Cosmos,https://www.agnikul.in/,Chennai,yes,Spacetech
OYO,https://www.oyorooms.com/careers/,Gurugram,yes,Travel tech SDE
Lenskart,https://www.lenskart.com/jobs,Gurugram,yes,Retail tech SDE
Blinkit,https://blinkit.com/careers,Gurugram,yes,Q-commerce SDE
PharmEasy,https://pharmeasy.in/careers/,Gurugram,yes,Healthtech SDE
Clear (ClearTax),https://www.clear.in/careers,Bengaluru,yes,Fintech SaaS
MobiKwik,https://www.mobikwik.com/careers,Gurugram,yes,Fintech SDE
Pine Labs,https://www.pinelabs.com/careers,Noida,yes,Payments SDE
CarDekho,https://careers.cardekho.com/,Gurugram,yes,Auto tech SDE
Rapidops,https://www.rapidops.com/careers/,Ahmedabad,yes,Product engineering
Radixweb,https://radixweb.com/careers,Ahmedabad,yes,Software dev
Cygnet Infotech,https://www.cygnet.one/careers,Ahmedabad,yes,Enterprise software
Hyperlink InfoSystem,https://www.hyperlinkinfosystem.com/careers,Ahmedabad,yes,App/web dev
Crest Data,https://www.crestdata.ai/careers/,Ahmedabad,yes,Data/DevOps/AI
Aubergine Solutions,https://www.aubergine.co/careers,Ahmedabad,yes,Product/design dev
Swvl,https://www.swvl.com/careers,Dubai,yes,Mobility tech
Huspy,https://www.huspy.com/careers,Dubai,yes,PropTech/fintech
Fresha,https://www.fresha.com/careers,Dubai,yes,Beauty SaaS
Alef Education,https://www.alefeducation.com/careers/,Dubai,yes,Edtech/AI
Network International,https://www.network.ae/careers,Dubai,yes,Payments SDE
Lazada,https://www.lazada.com/en/careers/,Singapore,yes,Ecommerce SDE
StashAway,https://www.stashaway.sg/careers,Singapore,yes,Wealthtech
Thunes,https://www.thunes.com/careers/,Singapore,yes,Payments SDE
Osome,https://osome.com/careers/,Singapore,yes,Fintech SaaS
Funding Societies,https://fundingsocieties.com/careers/,Singapore,yes,SME fintech
ThoughtSpot,https://www.thoughtspot.com/careers,Bengaluru,yes,Analytics AI
Nutanix,https://www.nutanix.com/careers,Bengaluru,yes,Cloud SDE
Rippling,https://www.rippling.com/careers,Bengaluru,yes,HR SaaS SDE
HackerRank,https://www.hackerrank.com/careers/,Bengaluru,yes,Dev skills SaaS
HackerEarth,https://www.hackerearth.com/careers/,Bengaluru,yes,Dev assessment
Atlan,https://atlan.com/careers/,Bengaluru,yes,Data catalog SaaS
Vymo,https://www.vymo.com/careers/,Bengaluru,yes,Sales AI SaaS
Locus,https://locus.sh/careers/,Bengaluru,yes,Logistics AI
Perfios,https://www.perfios.com/careers/,Bengaluru,yes,Fintech AI
Fi (epiFi),https://fi.money/careers,Bengaluru,yes,Neobank SDE
Jupiter Money,https://jupiter.money/careers/,Bengaluru,yes,Neobank SDE
Moneyview,https://moneyview.in/careers,Bengaluru,yes,Fintech SDE
Khatabook,https://khatabook.com/careers,Bengaluru,yes,Fintech SDE
Yulu,https://www.yulu.bike/careers/,Bengaluru,yes,EV mobility
Pega,https://www.pega.com/about/careers,Hyderabad,yes,Low-code/AI
ValueLabs,https://www.valuelabs.com/careers/,Hyderabad,yes,Product/AI services
CtrlS,https://www.ctrls.in/careers/,Hyderabad,yes,Datacenter/cloud
Tekion,https://tekion.com/careers,Bengaluru,yes,Auto retail cloud/AI
Amdocs,https://www.amdocs.com/careers,Pune,yes,Telecom software
Quick Heal,https://www.quickheal.com/careers/,Pune,yes,Cybersecurity
Cimpress/Vistaprint,https://cimpress.com/careers/,Pune,yes,Ecommerce SDE
BMC Software,https://www.bmc.com/careers.html,Pune,yes,Enterprise software
NICE,https://www.nice.com/careers,Pune,yes,CX/analytics SaaS
Ramco Systems,https://www.ramco.com/careers/,Chennai,yes,ERP/AI SaaS
M2P Fintech,https://m2pfintech.com/careers/,Chennai,yes,Fintech infra
Aspire Systems,https://www.aspiresys.com/careers/,Chennai,yes,Product engineering
Vuram,https://www.vuram.com/careers/,Chennai,yes,Low-code automation
Detect Technologies,https://www.detecttechnologies.com/careers/,Chennai,yes,Industrial AI
GUVI,https://www.guvi.in/careers/,Chennai,yes,Edtech engineering
Mad Street Den,https://www.madstreetden.com/careers/,Chennai,yes,Computer vision AI
Snapdeal,https://www.snapdeal.com/page/careers,Gurugram,yes,Ecommerce SDE
GreyOrange,https://www.greyorange.com/careers/,Gurugram,yes,Robotics AI
Newgen Software,https://newgensoft.com/company/careers/,Noida,yes,Low-code ECM
To The New,https://www.tothenew.com/careers,Noida,yes,Digital engineering
Times Internet,https://timesinternet.in/careers,Noida,yes,Consumer tech SDE
Airtel,https://www.airtel.in/careers/,Gurugram,yes,Telecom/AI
R Systems,https://www.rsystems.com/careers/,Noida,yes,Product engineering
RateGain,https://rategain.com/careers/,Noida,yes,Travel SaaS/AI
Elsner Technologies,https://www.elsner.com/careers/,Ahmedabad,yes,Web/app dev
Rlogical Techsoft,https://www.rlogical.com/careers/,Ahmedabad,yes,Software dev
WeblineIndia,https://www.weblineindia.com/careers.html,Ahmedabad,yes,Web/app dev
eSparkBiz,https://www.esparkinfo.com/careers,Ahmedabad,yes,Software dev
Inexture,https://www.inexture.com/careers/,Ahmedabad,yes,Software dev
Zealous System,https://www.zealousys.com/careers/,Ahmedabad,yes,Software dev
Sarwa,https://www.sarwa.co/careers,Dubai,yes,Wealthtech
Cafu,https://cafu.com/careers/,Dubai,yes,Mobility tech
Astra Tech (Botim),https://careers.astratech.ae/,Dubai,yes,Super-app
Majid Al Futtaim,https://www.majidalfuttaim.com/en/careers,Dubai,yes,Retail tech
Bayzat,https://www.bayzat.com/careers,Dubai,yes,HR/insurtech SaaS
Advance Intelligence (Atome),https://advance.ai/careers,Singapore,yes,AI/fintech
Endowus,https://endowus.com/careers,Singapore,yes,Wealthtech
Syfe,https://www.syfe.com/careers,Singapore,yes,Wealthtech
Validus,https://validus.sg/careers/,Singapore,yes,SME fintech
Doctor Anywhere,https://doctoranywhere.com/careers/,Singapore,yes,Health tech
Sleek,https://sleek.com/careers/,Singapore,yes,Fintech SaaS
Naukri Dehradun (IT),https://www.naukri.com/it-jobs-in-dehradun,Dehradun,yes,City IT board
Unacademy,https://unacademy.com/careers,Bengaluru,yes,Edtech SDE
Vedantu,https://www.vedantu.com/careers,Bengaluru,yes,Edtech SDE
upGrad,https://www.upgrad.com/careers/,Mumbai,yes,Edtech SDE
Scaler,https://www.scaler.com/careers/,Bengaluru,yes,Edtech/engineering
BigBasket,https://www.bigbasket.com/careers/,Bengaluru,yes,E-grocery SDE
Zepto,https://www.zeptonow.com/careers,Bengaluru,yes,Q-commerce SDE
Porter,https://porter.in/careers,Bengaluru,yes,Logistics SDE
Games24x7,https://www.games24x7.com/careers/,Bengaluru,yes,Gaming SDE/AI
Rebel Foods,https://www.rebelfoods.com/careers,Mumbai,yes,Foodtech SDE
Ola,https://www.olacabs.com/careers,Bengaluru,yes,Mobility SDE/AI
Ola Electric,https://olaelectric.com/careers,Bengaluru,yes,EV SDE/embedded
Toplyne,https://www.toplyne.io/careers,Bengaluru,yes,GTM AI SaaS
Techwave,https://techwave.wd108.myworkdayjobs.com/TechWave_Careers,Hyderabad,yes,IT services
MiQ,https://www.wearemiq.com/careers/,Hyderabad,yes,Adtech/data
Harbinger Group,https://www.harbingergroup.com/careers/,Pune,yes,Product engineering
Josh Software,https://www.joshsoftware.com/careers/,Pune,yes,Ruby/SDE
BitwiseGlobal,https://www.bitwiseglobal.com/careers/,Pune,yes,Data engineering
Synechron,https://www.synechron.com/careers,Pune,yes,Fintech IT
Congruent Solutions,https://www.congruentsoft.com/careers/,Chennai,yes,Fintech IT
Kaar Tech,https://www.kaartech.com/careers/,Chennai,yes,SAP/enterprise
Orion Innovation,https://www.orioninc.com/careers/,Chennai,yes,Digital engineering
Photon,https://www.photon.com/careers,Chennai,yes,Digital/AI
Shiprocket,https://careers.shiprocket.in/,Gurugram,yes,Logistics SaaS SDE
Square Yards,https://www.squareyards.com/careers,Gurugram,yes,PropTech SDE
Info Edge (Naukri),https://careers.infoedge.com/infoedge/jobslist,Noida,yes,Internet SDE
Tata 1mg,https://www.1mg.com/jobs,Gurugram,yes,Healthtech SDE
Mamaearth (Honasa),https://honasa.in/pages/careers,Gurugram,yes,D2C tech
Techtic Solutions,https://www.techtic.com/careers/,Ahmedabad,yes,Web/app dev
Peerbits,https://www.peerbits.com/careers.html,Ahmedabad,yes,App dev
BiztechCS,https://www.biztechcs.com/careers/,Ahmedabad,yes,Web/app dev
Softqube,https://www.softqubes.com/career,Ahmedabad,yes,Software dev
TruKKer,https://trukker.com/careers/,Dubai,yes,Logistics tech
YAP,https://www.yap.com/careers,Dubai,yes,Fintech SDE
Baraka,https://getbaraka.com/careers,Dubai,yes,Wealthtech
Pure Harvest,https://pureharvest.ag/careers/,Dubai,yes,Agritech
Circles.life,https://boards.greenhouse.io/embed/job_board?for=circleslife,Singapore,yes,Telco SaaS SDE
M-DAQ,https://www.m-daq.com/careers/,Singapore,yes,Fintech SDE
Kredivo (FinAccel),https://www.kredivo.com/careers,Singapore,yes,Fintech SDE
MoneySmart,https://www.moneysmart.sg/careers,Singapore,yes,Fintech SDE
Internshala (Data Science),https://internshala.com/internships/data-science-internship/,India,yes,Intern board
Internshala (Web Dev),https://internshala.com/internships/web-development-internship/,India,yes,Intern board
Internshala (Python),https://internshala.com/internships/python-internship/,India,yes,Intern board
Internshala (Full Stack),https://internshala.com/internships/full-stack-development-internship/,India,yes,Intern board
Internshala (Frontend),https://internshala.com/internships/front-end-development-internship/,India,yes,Intern board
Internshala (Backend),https://internshala.com/internships/back-end-development-internship/,India,yes,Intern board
Internshala (App Dev),https://internshala.com/internships/mobile-app-development-internship/,India,yes,Intern board
Internshala (Bangalore),https://internshala.com/internships/internship-in-bangalore/,Bengaluru,yes,City intern board
Internshala (Hyderabad),https://internshala.com/internships/internship-in-hyderabad/,Hyderabad,yes,City intern board
Internshala (Ahmedabad),https://internshala.com/internships/internship-in-ahmedabad/,Ahmedabad,yes,City intern board
Unstop Internships,https://unstop.com/internships,India,yes,Student intern/competitions board
Naukri Internships,https://www.naukri.com/internship-jobs,India,yes,Intern board
FreshersWorld,https://www.freshersworld.com/jobs/jobsearch/internship-jobs,India,yes,Fresher/intern board
Hirist (Tech),https://www.hirist.tech/,India,yes,SDE jobs board
Cutshort Internships,https://cutshort.io/jobs/internship-jobs,India,yes,Startup intern board
YC Work at a Startup,https://www.workatastartup.com/jobs,Remote,yes,YC startup jobs/interns
AICTE Internship Portal,https://internship.aicte-india.org/,India,yes,Govt internship portal
Zerodha,https://zerodha.com/careers/,Bengaluru,yes,Fintech/broking SDE
