Company,URL,Location,EntryLevel,Notes
Coforge,https://careers.coforge.com/,India,yes,SPA - needs RENDER
Darwinbox,https://darwinbox.com/careers,Hyderabad,no,HR SaaS (SPA - needs RENDER)
Keka HR,https://www.keka.com/careers,Hyderabad,no,HR SaaS (SPA - needs RENDER)
Zenskar,https://www.zenskar.com/careers,Bengaluru,no,Revenue automation SaaS
Peoplebox,https://www.peoplebox.ai/careers,Bengaluru,no,Talent SaaS
Swiggy,https://careers.swiggy.com/,Bengaluru,no,SPA - needs RENDER
Groww,https://groww.in/careers,Bengaluru,no,Fintech (SPA)
Urban Company,https://www.urbancompany.com/careers,Gurugram,no,SPA - needs RENDER
Delhivery,https://www.delhivery.com/careers,Gurugram,no,Logistics (SPA)
MakeMyTrip,https://careers.makemytrip.com/,Gurugram,no,SPA - needs RENDER
Zomato,https://www.zomato.com/careers,Gurugram,no,SPA - needs RENDER
PolicyBazaar,https://www.policybazaar.com/careers/,Gurugram,no,Insurtech (SPA)
Paytm,https://paytm.com/careers,Noida,no,Fintech (SPA)
Sprinklr,https://careers.sprinklr.com/,Gurugram,no,CX SaaS (SPA)
Cars24,https://www.cars24.com/careers/,Gurugram,no,Auto marketplace (SPA)
Spinny,https://www.spinny.com/careers/,Gurugram,no,Auto (SPA)
Innovaccer,https://innovaccer.com/careers,Noida,no,Healthtech SaaS (SPA)
Pristyn Care,https://www.pristyncare.com/careers/,Gurugram,no,Healthtech (SPA)
MoEngage,https://www.moengage.com/careers/,Bengaluru,no,Martech SaaS (SPA)
ShareChat,https://sharechat.com/careers,Bengaluru,no,Social (SPA)
Meesho,https://www.meesho.io/jobs,Bengaluru,no,Ecommerce (SPA)
CRIS,https://cris.org.in/loadpage?page=indexcareer,New Delhi,yes,Railway IT PSU; ASE via GATE
IRCTC,https://www.irctc.com/new-openings.php,New Delhi,no,Railway PSU; notifications
RailTel,https://www.railtel.in/en/careers,New Delhi,yes,Railway telecom PSU
Tata group,https://www.tata.com/careers/jobs/joblisting,India,no,Group careers (SPA)
Tata Elxsi,https://www.tataelxsi.com/careers,Bengaluru,no,Design/embedded (SPA)
Tata Technologies,https://www.tatatechnologies.com/in/careers/,Pune,no,Engineering (SPA)
Tata Digital,https://www.tatadigital.in/work-with-us,Bengaluru,no,Consumer tech (SPA)
BEL,https://bel-india.in/career/,India,yes,Defence PSU
BHEL,https://careers.bhel.in/,India,yes,Heavy engineering PSU
NTPC,https://careers.ntpc.co.in/,India,yes,Power PSU
ONGC,https://ongcindia.com/web/eng/career,India,yes,Oil & gas PSU
GAIL,https://gailonline.com/IND_CareerCurrentOpenings.html,India,yes,Gas PSU
SAIL,https://sail.co.in/en/jobs,India,yes,Steel PSU
HAL,https://hal-india.co.in/career,India,yes,Aerospace PSU
ISRO,https://www.isro.gov.in/Careers.html,India,yes,Space agency
IOCL,https://iocl.com/latest-job-openings,India,yes,Oil PSU
PowerGrid,https://www.powergrid.in/careers,India,yes,Power transmission PSU
NPCIL,https://npcilcareers.co.in/,India,yes,Nuclear PSU
DRDO RAC,https://rac.gov.in/,India,yes,Defence R&D
Internshala (ML),https://internshala.com/internships/machine-learning-internship/,India,yes,ML internships board
Internshala (SDE),https://internshala.com/internships/software-development-internship/,India,yes,Software-dev internships board
Internshala (AI),https://internshala.com/internships/artificial-intelligence-internship/,India,yes,AI internships board
YCombinator Jobs,https://www.ycombinator.com/jobs/location/bengaluru,Bengaluru,yes,YC startup jobs/interns (SPA)
Wellfound,https://wellfound.com/location/bangalore,Bengaluru,yes,Startup jobs/interns (SPA)
Google,https://www.google.com/about/careers/applications/jobs/results/?location=India&employment_type=INTERN,India,yes,Interns India (SPA)
Microsoft,https://careers.microsoft.com/students/us/en/search-results,India,yes,Students/interns (SPA)
Amazon India,https://www.amazon.jobs/en/search?base_query=intern&loc_query=India,India,yes,SDE/intern India
Adobe,https://careers.adobe.com/us/en/c/university-jobs,India,yes,University jobs (SPA)
NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,India,yes,AI/ML + SDE (SPA)
Qualcomm,https://careers.qualcomm.com/careers,India,yes,Embedded/SDE (SPA)
Samsung R&D India,https://research.samsung.com/careers,Bengaluru,yes,AI/ML research (SPA)
Atlassian,https://www.atlassian.com/company/careers/all-jobs,Bengaluru,yes,Early career (SPA)
Salesforce Futureforce,https://www.salesforce.com/company/careers/university-recruiting/,India,yes,University recruiting
Walmart Global Tech,https://careers.walmart.com/technology,Bengaluru,yes,SDE/AI (SPA)
Goldman Sachs Eng,https://www.goldmansachs.com/careers/students/,Bengaluru,yes,Students/engineering
Flipkart,https://www.flipkartcareers.com/,Bengaluru,yes,SDE/AI (SPA)
PhonePe,https://www.phonepe.com/careers/,Bengaluru,yes,SDE/AI (SPA)
Razorpay,https://razorpay.com/jobs/,Bengaluru,yes,SDE/AI (SPA)
Postman,https://www.postman.com/company/careers/open-positions/,Bengaluru,yes,SDE (SPA)
CRED,https://careers.cred.club/,Bengaluru,yes,SDE/AI (SPA)
Arcesium,https://careers.arcesium.com/,Bengaluru,yes,SDE (SPA)
D. E. Shaw India,https://www.deshawindia.com/careers,Hyderabad,yes,SDE/quant (SPA)
Sarvam AI,https://www.sarvam.ai/careers,Bengaluru,yes,GenAI/LLM
Krutrim,https://www.olakrutrim.com/careers,Bengaluru,yes,AI/LLM (SPA)
Fractal Analytics,https://fractal.ai/careers/,India,yes,AI/ML/data (SPA)
Mu Sigma,https://www.mu-sigma.com/careers,Bengaluru,yes,Data science
Wadhwani AI,https://www.wadhwaniai.org/careers/,India,yes,AI-for-good
